score,tags,url
0.745209,"sandbar, sand bar","http://scontent-b-mad.cdninstagram.com/hphotos-xfa1/t51.2885-15/s306x306/e15/10958279_1078684255490642_1485640051_n.jpg"
0.730958,"academic gown, academic robe, judge\'s robe","http://scontent-b-mad.cdninstagram.com/hphotos-xaf1/t51.2885-15/s306x306/e15/10919266_1533713723559255_895447701_n.jpg"
0.508577,"seashore, coast, seacoast, sea-coast","http://scontent-a-mad.cdninstagram.com/hphotos-xaf1/t51.2885-15/s306x306/e15/10946625_1539020996361335_838435693_n.jpg"
0.727731,"sandbar, sand bar","http://scontent-b-mad.cdninstagram.com/hphotos-xaf1/t51.2885-15/s306x306/e15/10894999_331112430415683_1334124433_n.jpg"
0.778631,"plane, carpenter\'s plane, woodworking plane","http://scontent-b-mad.cdninstagram.com/hphotos-xfa1/t51.2885-15/s306x306/e15/10932413_434098660076874_774714551_n.jpg"
0.573998,"seashore, coast, seacoast, sea-coast","http://scontent-a-mad.cdninstagram.com/hphotos-xaf1/t51.2885-15/s306x306/e15/10919475_905995836099114_2113563937_n.jpg"
0.650482,"seashore, coast, seacoast, sea-coast","http://scontent-a-mad.cdninstagram.com/hphotos-xaf1/t51.2885-15/s306x306/e15/10890886_868585553172049_101445903_n.jpg"
0.744188,"grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus","http://scontent-b-mad.cdninstagram.com/hphotos-xfa1/t51.2885-15/s306x306/e15/10848287_1583223068575736_1870219711_n.jpg"
0.649295,"boathouse","http://scontent-a-mad.cdninstagram.com/hphotos-xaf1/t51.2885-15/s306x306/e15/10838635_573462449455798_588738391_n.jpg"
0.961999,"steel arch bridge","http://scontent-a-mad.cdninstagram.com/hphotos-xaf1/t51.2885-15/s306x306/e15/10838725_347917722074922_710873129_n.jpg"
0.657641,"snorkel","http://scontent-b-mad.cdninstagram.com/hphotos-xaf1/t51.2885-15/s306x306/e15/10853116_787722681275644_1570972097_n.jpg"
0.505529,"bathing cap, swimming cap","http://scontent-a-mad.cdninstagram.com/hphotos-xaf1/t51.2885-15/s306x306/e15/10748310_1391979717759895_160034755_n.jpg"
0.530256,"killer whale, killer, orca, grampus, sea wolf, Orcinus orca","http://scontent-a-mad.cdninstagram.com/hphotos-xpa1/t51.2885-15/s306x306/e15/925321_778532708859562_125808015_n.jpg"
0.680837,"snorkel","http://scontent-a-mad.cdninstagram.com/hphotos-xfp1/t51.2885-15/s306x306/e15/10661081_460792407391943_1919477745_n.jpg"
0.516912,"theater curtain, theatre curtain","http://scontent-a-mad.cdninstagram.com/hphotos-xap1/t51.2885-15/s306x306/e15/10632289_1530196650550873_1886562625_n.jpg"
0.76362,"seashore, coast, seacoast, sea-coast","http://scontent-a-mad.cdninstagram.com/hphotos-xfp1/t51.2885-15/s306x306/e15/10570201_310612749120739_596001309_n.jpg"
0.778094,"bathing cap, swimming cap","http://scontent-b-mad.cdninstagram.com/hphotos-xfp1/t51.2885-15/s306x306/e15/10483494_799365683447571_1591102263_n.jpg"
0.964935,"wing","http://scontent-b-mad.cdninstagram.com/hphotos-xap1/t51.2885-15/s306x306/e15/10608084_677539822330205_1732380519_n.jpg"
0.641789,"sandbar, sand bar","http://scontent-a-mad.cdninstagram.com/hphotos-xfp1/t51.2885-15/s306x306/e15/10598521_603786929740605_243474286_n.jpg"
0.686796,"velvet","http://scontent-b-mad.cdninstagram.com/hphotos-xfa1/t51.2885-15/s306x306/e15/914773_304283746411507_1278138461_n.jpg"
0.614941,"sandbar, sand bar","http://scontent-a-mad.cdninstagram.com/hphotos-xpf1/t51.2885-15/s306x306/e15/10570079_507912502688490_1241220958_n.jpg"
0.518575,"loupe, jeweler\'s loupe","http://scontent-a-mad.cdninstagram.com/hphotos-xap1/t51.2885-15/s306x306/e15/10499157_650688378353695_1937041972_n.jpg"
0.661049,"bathing cap, swimming cap","http://scontent-b-mad.cdninstagram.com/hphotos-xpf1/t51.2885-15/s306x306/e15/10453973_1441817042743581_841407362_n.jpg"
0.889627,"consomme","http://scontent-a-mad.cdninstagram.com/hphotos-xpa1/t51.2885-15/s306x306/e15/10467768_329093870571441_491707687_n.jpg"
0.529364,"lumbermill, sawmill","http://scontent-a-mad.cdninstagram.com/hphotos-xaf1/t51.2885-15/s306x306/e15/10413132_224883607722119_2016640702_n.jpg"
0.54055,"sunglass","http://scontent-a-mad.cdninstagram.com/hphotos-xpa1/t51.2885-15/s306x306/e15/928504_1378598695757670_41125032_n.jpg"
0.805078,"school bus","http://scontent-a-mad.cdninstagram.com/hphotos-xpa1/outbound-distilleryimage5/t0.0-17/OBPTH/a0bd807494bb11e2af7e22000a1f8ae5_6.jpg"
